fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125043,Partido Socialista Obrero Español,RodriguezPinero
Ulrike RODUST,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,93624,Sozialdemokratische Partei Deutschlands,UlrikeRodust
Jens ROHDE,Denmark,Group of the Alliance of Liberals and Democrats for Europe,96710,Det Radikale Venstre,rohde_jens
Claude ROLIN,Belgium,Group of the European People's Party (Christian Democrats),125107,Centre Démocrate Humaniste,clauderolin
Bronis ROPĖ,Lithuania,Group of the Greens/European Free Alliance,125214,Lietuvos valstiečių ir žaliųjų sąjunga,bronisropelt
Dariusz ROSATI,Poland,Group of the European People's Party (Christian Democrats),28394,Platforma Obywatelska,DariuszRosati
Virginie ROZIÈRE,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,103845,Les radicaux de Gauche,VRoziere
Fernando RUAS,Portugal,Group of the European People's Party (Christian Democrats),124730,Partido Social Democrata,fernandoruaspe
Paul RÜBIG,Austria,Group of the European People's Party (Christian Democrats),2278,Österreichische Volkspartei,PaulRuebig
Pirkko RUOHONEN-LERNER,Finland,European Conservatives and Reformists Group,132366,Perussuomalaiset,pirkkorl
Tokia SAÏFI,France,Group of the European People's Party (Christian Democrats),4345,Agir - La Droite constructive,TokiaSaifi
Sofia SAKORAFA,Greece,Confederal Group of the European United Left - Nordic Green Left,125091,Independent,SofiaSakorafa
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,Spain,Group of the European People's Party (Christian Democrats),2002,Partido Popular,
Massimiliano SALINI,Italy,Group of the European People's Party (Christian Democrats),125670,Forza Italia,maxsalini
Lola SÁNCHEZ CALDENTEY,Spain,Confederal Group of the European United Left - Nordic Green Left,125035,PODEMOS,LolaPodemos
Anne SANDER,France,Group of the European People's Party (Christian Democrats),24594,Les Républicains,ASanderMEP
Alfred SANT,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124781,Partit Laburista,SantAlfred
